refdes,device,x,y,sizex,sizey,rotation
A,33/8P4R/4,-448000.000,15000.000,4920.000,5900.000,270.000
ATX,APW/2*12/BK/VA/SN/2SHK/PA66,-595325.000,499445.000,21650.000,218890.000,0.000
ATX_12V,APW/2*2/BK/P/4.2/SN/PA66,-92978.000,742876.000,27752.000,25497.000,90.000
AUDIO,A3RP/13P/BL,LI,PK/RA/D/1/B,-535.000,259571.000,47600.000,54300.000,90.000
BAT,BAT-SK/BK/P/S/D/SN,-302370.000,290000.000,0.000,78740.000,270.000
BC140,1u/4/X5R/6.3V/K,-465500.000,272000.000,0.000,3140.000,180.000
BC146,0.1u/4/X7R/16V/K/X,-573000.000,439500.000,0.000,3140.000,180.000
BC147,0.1u/4/X7R/16V/K,-573000.000,449000.000,0.000,3140.000,0.000
BC148,1u/4/X5R/6.3V/K,-573000.000,466000.000,0.000,3140.000,0.000
BC149,4.7u/6/X5R/6.3V/K,-565500.000,478500.000,0.000,5600.000,270.000
BC150,0.1u/4/X7R/16V/K,-573000.000,487000.000,0.000,3140.000,180.000
BC151,1u/4/X5R/6.3V/K,-572500.000,543500.000,0.000,3140.000,180.000
BC152,0.1u/4/X7R/16V/K,-572500.000,552500.000,0.000,3140.000,0.000
BC153,0.1u/4/X7R/16V/K,-573000.000,584500.000,0.000,3140.000,0.000
BC154,10u/6/X5R/6.3V/M,-440500.000,293000.000,0.000,5600.000,180.000
BC158,0.1u/4/X7R/16V/K,-579500.000,390000.000,0.000,3140.000,0.000
BC161,0.1u/4/X7R/16V/K/X,-293500.000,18000.000,0.000,3140.000,0.000
BC162,10u/6/X5R/6.3V/M/X,-544000.000,723000.000,0.000,5600.000,0.000
BC164,1n/4/X7R/50V/K,-333500.000,9500.000,0.000,3140.000,180.000
BC179,22u/8/X5R/6.3V/M,-223000.000,330000.000,0.000,7880.000,270.000
BC20,0.1u/4/X7R/16V/K,-117500.000,748500.000,0.000,3140.000,270.000
BC21,0.1u/4/X7R/16V/K,-78500.000,767500.000,0.000,3140.000,90.000
BC5,0.1u/4/X7R/16V/K/X,-2000.000,517500.000,0.000,3140.000,180.000
BC6,0.1u/4/X7R/16V/K/X,-33000.000,498500.000,0.000,3140.000,90.000
BC63,0.1u/4/X7R/16V/K/X,7000.000,585500.000,0.000,3140.000,0.000
BC67,0.01u/4/X7R/25V/K,-440000.000,-14000.000,0.000,3140.000,0.000
BC75,0.01u/4/X7R/25V/K,-462000.000,-23000.000,0.000,3140.000,0.000
BC78,0.01u/4/X7R/25V/K/X,-530500.000,-10000.000,0.000,3140.000,180.000
BC79,1u/4/X5R/6.3V/K,-209500.000,299000.000,0.000,3140.000,270.000
BC8,0.1u/4/X7R/16V/K/X,-44500.000,803500.000,0.000,3140.000,90.000
BC84,1u/4/X5R/6.3V/K,-249500.000,290500.000,0.000,3140.000,90.000
B_BIOS,MASK/32M/SPI/SO8/200mil/S/X,-276000.000,85000.000,28760.000,15000.000,0.000
