refdes,pin,x,y,net
A,1,-445050.000,12540.000,C_ACZ_BITCLK
A,1,-445050.000,12540.000,C_ACZ_BITCLK
A,2,-445050.000,17460.000,C_ACZ_SYNC
A,2,-445050.000,17460.000,C_ACZ_SYNC
A,3,-447020.000,12540.000,C_ACZ_BITCLK
A,3,-447020.000,12540.000,C_ACZ_BITCLK
A,4,-447020.000,17460.000,C_ACZ_SYNC
A,4,-447020.000,17460.000,C_ACZ_SYNC
A,5,-448980.000,12540.000,C_ACZ_BITCLK
A,5,-448980.000,12540.000,C_ACZ_BITCLK
A,6,-448980.000,17460.000,C_ACZ_SYNC
A,6,-448980.000,17460.000,C_ACZ_SYNC
A,7,-450950.000,12540.000,C_-ACZ_RST
A,7,-450950.000,12540.000,C_-ACZ_RST
A,8,-450950.000,17460.000,C_ACZ_SYNC
A,8,-450950.000,17460.000,C_ACZ_SYNC
ATX,1,-584500.000,408500.000,VCC3
ATX,1,-584500.000,408500.000,VCC3
ATX,2,-584500.000,425040.000,VCC3
ATX,2,-584500.000,425040.000,VCC3
ATX,3,-584500.000,441570.000,GND
ATX,3,-584500.000,441570.000,GND
ATX,4,-584500.000,458110.000,VCC
ATX,4,-584500.000,458110.000,VCC
ATX,5,-584500.000,474640.000,GND
ATX,5,-584500.000,474640.000,GND
ATX,6,-584500.000,491180.000,VCC
ATX,6,-584500.000,491180.000,VCC
ATX,7,-584500.000,507710.000,GND
ATX,7,-584500.000,507710.000,GND
ATX,8,-584500.000,524250.000,PWOK
ATX,8,-584500.000,524250.000,PWOK
ATX,9,-584500.000,540780.000,5VSB
ATX,9,-584500.000,540780.000,5VSB
ATX,10,-584500.000,557320.000,+12V
ATX,10,-584500.000,557320.000,+12V
ATX,11,-584500.000,573850.000,+12V
ATX,11,-584500.000,573850.000,+12V
ATX,12,-584500.000,590390.000,VCC3
ATX,12,-584500.000,590390.000,VCC3
ATX,13,-606150.000,408500.000,VCC3
ATX,13,-606150.000,408500.000,VCC3
ATX,14,-606150.000,425040.000,-12V
ATX,14,-606150.000,425040.000,-12V
ATX,15,-606150.000,441570.000,GND
ATX,15,-606150.000,441570.000,GND
ATX,16,-606150.000,458110.000,-PSON
ATX,16,-606150.000,458110.000,-PSON
ATX,17,-606150.000,474640.000,GND
ATX,17,-606150.000,474640.000,GND
ATX,18,-606150.000,491180.000,GND
ATX,18,-606150.000,491180.000,GND
ATX,19,-606150.000,507710.000,GND
ATX,19,-606150.000,507710.000,GND
ATX,20,-606150.000,524250.000,NC_1454
ATX,20,-606150.000,524250.000,NC_1454
